filename, language, JavaScript, JSON, TypeScript, HTML, CSS, XML, Markdown, Log, comment, blank, total
src/components/Main/AncillaryEquipment/EquipmentCards.js, JavaScript, 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
src/components/Main/AncillaryEquipment/EquipmentDiagram.js, JavaScript, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
src/components/Main/AncillaryEquipment/index.js, JavaScript, 85, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
src/components/Main/BatteryEnergyContent/index.js, JavaScript, 182, 0, 0, 0, 0, 0, 0, 0, 3, 12, 197
src/components/Main/DataTable/index.js, JavaScript, 115, 0, 0, 0, 0, 0, 0, 0, 5, 9, 129
src/components/Main/EmptyState/index.js, JavaScript, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
src/components/Main/FileChooser/index.js, JavaScript, 165, 0, 0, 0, 0, 0, 0, 0, 0, 7, 172
src/components/Main/GridComponents/ComponentCards.js, JavaScript, 262, 0, 0, 0, 0, 0, 0, 0, 3, 10, 275
src/components/Main/GridComponents/index.js, JavaScript, 64, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
src/components/Main/Loads/index.js, JavaScript, 167, 0, 0, 0, 0, 0, 0, 0, 0, 6, 173
src/components/Main/Summary/ApplianceOperatorSummary.js, JavaScript, 123, 0, 0, 0, 0, 0, 0, 0, 0, 4, 127
src/components/Main/Summary/GridOperatorSummary.js, JavaScript, 234, 0, 0, 0, 0, 0, 0, 0, 4, 11, 249
src/components/Main/Summary/ModelInputs.js, JavaScript, 117, 0, 0, 0, 0, 0, 0, 0, 0, 3, 120
src/components/Main/Summary/index.js, JavaScript, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 52
src/components/Main/TimeSegments/HourOfWeekChart.js, JavaScript, 97, 0, 0, 0, 0, 0, 0, 0, 2, 6, 105
src/components/Main/TimeSegments/StackedChart.js, JavaScript, 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 66
src/components/Main/TimeSegments/TimeSegmentControls.js, JavaScript, 113, 0, 0, 0, 0, 0, 0, 0, 0, 5, 118
src/components/Main/TimeSegments/ToolTip.js, JavaScript, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
src/components/Main/TimeSegments/axisFormatters.js, JavaScript, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
src/components/Main/TimeSegments/getChartTitle.js, JavaScript, 64, 0, 0, 0, 0, 0, 0, 0, 0, 6, 70
src/components/Main/TimeSegments/index.js, JavaScript, 170, 0, 0, 0, 0, 0, 0, 0, 3, 14, 187
src/components/Main/index.js, JavaScript, 47, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
src/components/Profile/index.js, JavaScript, 137, 0, 0, 0, 0, 0, 0, 0, 0, 11, 148
src/components/Snapshots/index.js, JavaScript, 82, 0, 0, 0, 0, 0, 0, 0, 3, 6, 91
src/components/TopMenu/index.js, JavaScript, 54, 0, 0, 0, 0, 0, 0, 0, 3, 2, 59
src/components/UploadFiles/ApplianceDataTable.js, JavaScript, 108, 0, 0, 0, 0, 0, 0, 0, 5, 9, 122
src/components/UploadFiles/ApplianceFile.js, JavaScript, 171, 0, 0, 0, 0, 0, 0, 0, 0, 6, 177
src/components/UploadFiles/ApplianceFileInstructions.js, JavaScript, 171, 0, 0, 0, 0, 0, 0, 0, 0, 6, 177
src/components/UploadFiles/ApplianceFiles.js, JavaScript, 107, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
src/components/UploadFiles/ApplianceFormFields.js, JavaScript, 116, 0, 0, 0, 0, 0, 0, 0, 0, 10, 126
src/components/UploadFiles/ApplianceInfoPopupContent.js, JavaScript, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
src/components/UploadFiles/ApplianceSummaryStats.js, JavaScript, 49, 0, 0, 0, 0, 0, 0, 0, 0, 2, 51
src/components/UploadFiles/BatteryModel.js, JavaScript, 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
src/components/UploadFiles/FileUploadErrors.js, JavaScript, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
src/components/UploadFiles/GridInfoPopupContent.js, JavaScript, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
src/components/UploadFiles/HomerFile.js, JavaScript, 187, 0, 0, 0, 0, 0, 0, 0, 0, 10, 197
src/components/UploadFiles/HomerFiles.js, JavaScript, 107, 0, 0, 0, 0, 0, 0, 0, 0, 7, 114
src/components/UploadFiles/HomerFormFields.js, JavaScript, 140, 0, 0, 0, 0, 0, 0, 0, 0, 13, 153
src/components/UploadFiles/index.js, JavaScript, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
src/images/ac_to_dc_power_converter.svg, XML, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
src/images/dc_to_ac_inverter.svg, XML, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
src/images/placeholder.svg, XML, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
src/index.js, JavaScript, 11, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
src/logo.svg, XML, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
src/react-app-env.d.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
src/serviceWorker.js, JavaScript, 92, 0, 0, 0, 0, 0, 0, 0, 31, 13, 136
src/setupTests.js, JavaScript, 2, 0, 0, 0, 0, 0, 0, 0, 5, 3, 10
